rep,learning_rate,epochs,hidden_units,optimizer,loss_function,train_accuracy,train_precision,train_recall,train_f1_score,train_roc_auc_score,train_auc,train_confusion_matrix,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc_score,test_auc,test_confusion_matrix
0,0.1,500,"[4, 4, 0]",Adam,binary_crossentropy,0.9991482112436116,1.0,0.9982993197278912,0.9991489361702128,1.0,-1,"[[586   0]
 [  1 587]]",0.76,1.0,0.22826086956521738,0.3684210526315789,1.0,-1,"[[207   1]
 [ 71  21]]"
0,0.1,500,"[4, 4, 0]",Adam,hinge,0.979557069846678,1.0,0.9637561779242174,0.9798994974874372,1.0,-1,"[[565   2]
 [ 22 585]]",0.6733333333333333,1.0,0.17796610169491525,0.3,1.0,-1,"[[181   1]
 [ 97  21]]"
0,0.1,500,"[4, 4, 0]",Adam,squared_hinge,0.9940374787052811,1.0,1.0,0.9940017137960583,1.0,-1,"[[587   7]
 [  0 580]]",0.77,1.0,0.23595505617977527,0.3783783783783784,1.0,-1,"[[210   1]
 [ 68  21]]"
0,0.1,500,"[4, 4, 0]",Adagrad,binary_crossentropy,0.9412265758091993,1.0,0.9832089552238806,0.9385574354407836,1.0,-1,"[[578  60]
 [  9 527]]",0.7733333333333333,1.0,0.21951219512195122,0.34615384615384615,1.0,-1,"[[214   4]
 [ 64  18]]"
0,0.1,500,"[4, 4, 0]",Adagrad,hinge,0.6056218057921635,1.0,0.9558823529411765,0.359612724757953,1.0,-1,"[[581 457]
 [  6 130]]",0.8033333333333333,1.0,0.10638297872340426,0.14492753623188404,1.0,-1,"[[236  17]
 [ 42   5]]"
0,0.1,500,"[4, 4, 0]",Adagrad,squared_hinge,0.5,1.0,1.0,0.0,-1,0.0,"[[587 587]
 [  0   0]]",0.9266666666666666,1.0,1.0,0.0,-1,0.0,"[[278  22]
 [  0   0]]"
0,0.1,500,"[4, 4, 0]",SGD,binary_crossentropy,0.5,1.0,1.0,0.0,-1,0.0,"[[587 587]
 [  0   0]]",0.9266666666666666,1.0,1.0,0.0,-1,0.0,"[[278  22]
 [  0   0]]"
0,0.1,500,"[4, 4, 0]",SGD,hinge,0.5,1.0,1.0,0.0,-1,0.0,"[[587 587]
 [  0   0]]",0.9266666666666666,1.0,1.0,0.0,-1,0.0,"[[278  22]
 [  0   0]]"
0,0.1,500,"[4, 4, 0]",SGD,squared_hinge,0.5,1.0,1.0,0.0,-1,0.0,"[[587 587]
 [  0   0]]",0.9266666666666666,1.0,1.0,0.0,-1,0.0,"[[278  22]
 [  0   0]]"
0,0.1,500,"[10, 10, 0]",Adam,binary_crossentropy,1.0,1.0,1.0,1.0,1.0,0.5,"[[587   0]
 [  0 587]]",0.6933333333333334,1.0,0.1875,0.31343283582089554,1.0,-1,"[[187   1]
 [ 91  21]]"
0,0.1,500,"[10, 10, 0]",Adam,hinge,0.9982964224872232,1.0,0.9966044142614601,0.9982993197278911,1.0,-1,"[[585   0]
 [  2 587]]",0.7033333333333334,1.0,0.1926605504587156,0.3206106870229008,1.0,-1,"[[190   1]
 [ 88  21]]"
0,0.1,500,"[10, 10, 0]",Adam,squared_hinge,0.9991482112436116,1.0,1.0,0.9991474850809888,1.0,-1,"[[587   1]
 [  0 586]]",0.76,1.0,0.2222222222222222,0.3571428571428571,1.0,-1,"[[208   2]
 [ 70  20]]"
0,0.1,500,"[10, 10, 0]",Adagrad,binary_crossentropy,0.9233390119250426,1.0,0.8725637181409296,0.9282296650717705,1.0,-1,"[[502   5]
 [ 85 582]]",0.5466666666666666,1.0,0.13924050632911392,0.2444444444444444,1.0,-1,"[[142   0]
 [136  22]]"
0,0.1,500,"[10, 10, 0]",Adagrad,hinge,0.5664395229982965,1.0,0.5355839416058394,0.6975638740344623,1.0,-1,"[[ 78   0]
 [509 587]]",0.17,1.0,0.08118081180811808,0.1501706484641638,1.0,-1,"[[ 29   0]
 [249  22]]"
0,0.1,500,"[10, 10, 0]",Adagrad,squared_hinge,0.5,1.0,1.0,0.0,-1,0.0,"[[587 587]
 [  0   0]]",0.9266666666666666,1.0,1.0,0.0,-1,0.0,"[[278  22]
 [  0   0]]"
0,0.1,500,"[10, 10, 0]",SGD,binary_crossentropy,0.7614991482112436,1.0,0.7697715289982425,0.7577854671280277,1.0,-1,"[[456 149]
 [131 438]]",0.6833333333333333,1.0,0.14563106796116504,0.23999999999999996,1.0,-1,"[[190   7]
 [ 88  15]]"
0,0.1,500,"[10, 10, 0]",SGD,hinge,0.8015332197614992,1.0,0.8105263157894737,0.7986171132238549,1.0,-1,"[[479 125]
 [108 462]]",0.6166666666666667,1.0,0.08849557522123894,0.14814814814814817,1.0,-1,"[[175  12]
 [103  10]]"
0,0.1,500,"[10, 10, 0]",SGD,squared_hinge,0.5,1.0,1.0,0.0,-1,0.0,"[[587 587]
 [  0   0]]",0.9266666666666666,1.0,1.0,0.0,-1,0.0,"[[278  22]
 [  0   0]]"
